,Title,Source,Description,Link,Time
0,Trump Nominee 'Destroying' Democrat Adam Schiff During Tense Exchange Praised By...,International Business Times,President-elect Donald Trump's nominee for Attorney General Pam Bondi was hailed by Conservatives... ,https://www.ibtimes.com/trump-nominee-destroying-democrat-adam-schiff-during-tense-exchange-praised-conservatives-3759417,1 hour ago
1,Takeaways from the second day of Trump Cabinet confirmation hearings,CNN ·  via Yahoo News,"Donald Trump’s Cabinet nominees for key roles in the intelligence, foreign policy and law... ",https://www.yahoo.com/news/takeaways-second-day-trump-cabinet-183236043.html?fr=sycsrp_catchall,45 minutes ago
2,Stephen Miller preps House Republicans for Trump's immigration overhaul in...,Fox News,President-elect Trump's top aide on immigration and the border spoke with House Republicans during a... ,https://www.foxnews.com/politics/stephen-miller-preps-house-republicans-trumps-immigration-overhaul-closed-door-meeting,15 minutes ago
3,Trump takes full credit for ‘EPIC’ ceasefire agreement between Israel and Hamas,The Independent ·  via Yahoo News,Donald Trump claimed full credit on Wednesday for the “EPIC” ceasefire deal between Israel and... ,https://www.yahoo.com/news/trump-takes-full-credit-epic-174248292.html?fr=sycsrp_catchall,2 hours ago
4,Trump credited for ceasefire breakthrough as US officials who resigned over Gaza...,The Independent ·  via Yahoo News,U.S. officials who resigned over the Biden administration’s support for Israel’s war in Gaza slammed... ,https://www.yahoo.com/news/trump-credited-ceasefire-breakthrough-us-201425433.html?fr=sycsrp_catchall,1 hour ago
5,Jill Biden reveals what she and Trump talked about at Notre Dame,Newsweek,First Lady Jill Biden revealed what she and President-elect Donald Trump talked about while... ,https://www.newsweek.com/jill-biden-donald-trump-notre-dame-conversation-2015671,33 minutes ago
6,Trump’s pick for budget director won’t say whether he would release Ukraine aid,KRQE & KASA FOX 2 Albuquerque,"WASHINGTON (AP) — Russell Vought, President-elect Donald Trump’s nominee for White House budget... ",https://www.krqe.com/news/politics/ap-trumps-pick-for-budget-director-wont-say-whether-he-would-release-ukraine-aid/,42 minutes ago
7,Trump's AG pick Pam Bondi tells Senate 'There will never be an enemies list' in...,United Press International ·  via Yahoo News,"Capitol in Washington, D.C., on Wednesday. Photo by Bonnie Cash/UPI Jan. 15 (UPI) -- President-elect... ",https://www.yahoo.com/news/trumps-ag-pick-pam-bondi-142915660.html?fr=sycsrp_catchall,3 hours ago
8,Donald Trump Reportedly Dissed Kristi Noem By Comparing Her With Donald Trump...,HuffPost,"After hearing that the South Dakota governor once killed a dog, the elder Trump is said to have told... ",https://www.huffpost.com/entry/donald-trump-kristi-noem-dog-shooting-donald-trump-jr_n_678806c9e4b02f1db4f83362?yptr=yahoo,25 minutes ago
9,Trump Family and Friends Don’t Like Don Jr.’s New Girlfriend,The Daily Beast ·  via Yahoo News,President-elect Donald Trump isn’t convinced Florida socialite Bettina Anderson is a good fit for... ,https://www.yahoo.com/entertainment/trump-family-friends-don-t-211404253.html?fr=sycsrp_catchall,9 minutes ago
10,"Israel, Hamas reach ceasefire after 15 months of brutal war in Gaza",MSNBC ·  via Yahoo News,"Israel and Hamas have reached a ceasefire agreement, after more than 15 months of destructive... ",https://www.yahoo.com/news/israel-hamas-reach-ceasefire-15-172204182.html?fr=sycsrp_catchall,60 minutes ago
11,Israel and Hamas reach ceasefire and hostage release deal,ABC News,"A ceasefire deal has been reached between Israel and Hamas, more than 15 months into the conflict.... ",https://abcnews.go.com/International/ceasefire-deal-reached-israel-hamas/story?id=106870619,39 minutes ago
12,Israel-Gaza ceasefire live: Deal to begin on Sunday as Hamas accepts deal to...,The Independent ·  via Yahoo News,"Hamas has accepted a ceasefire deal with Israel, bringing an end to 15 months of war that have... ",https://www.yahoo.com/news/israel-gaza-ceasefire-live-hamas-191927982.html?fr=sycsrp_catchall,32 minutes ago
13,Israel and Hamas agree to ceasefire days before Trump takes power,The Telegraph ·  via Yahoo News,"Some Israelis rejoiced at the news of a deal, which should see the return of the hostages - Ronen... ",https://www.yahoo.com/news/israel-hamas-agree-ceasefire-days-204620454.html?fr=sycsrp_catchall,34 minutes ago
14,Israel-Hamas ceasefire and hostage release deal reached,CBS News ·  via Yahoo News,"After intense negotiations, Israel and Hamas have reached a deal that would see a ceasefire and the... ",https://www.yahoo.com/news/israel-hamas-ceasefire-hostage-release-170724829.html?fr=sycsrp_catchall,54 minutes ago
15,Trump takes full credit for ‘EPIC’ ceasefire agreement between Israel and Hamas,The Independent ·  via Yahoo News,Donald Trump claimed full credit on Wednesday for the “EPIC” ceasefire deal between Israel and... ,https://www.yahoo.com/news/trump-takes-full-credit-epic-174248292.html?fr=sycsrp_catchall,2 hours ago
16,Biden pointedly notes that he ‘introduced’ Israel-Hamas ceasefire deal after...,The Independent ·  via Yahoo News,Hamas and Israel have reached a ceasefire deal brokered by the United States with the aid of the... ,https://www.yahoo.com/news/biden-says-israel-hamas-reached-185955561.html?fr=sycsrp_catchall,59 minutes ago
17,"Israel, Hamas agree to cease-fire, exchange of hostages, prisoners",UPI,"On Wednesday, a cease-fire was announced that will end the 15-month war between Hamas and Israel and... ",https://www.upi.com/Top_News/World-News/2025/01/15/gaza-cease-fire-agreement/7601736968653/,2 hours ago
18,Hostage deal shows Hamas took Trump's 'hell to pay' threat seriously,Fox News,NEWYou can now listen to Fox News articles! Incoming President Donald Trump has repeatedly issued... ,https://www.foxnews.com/opinion/hostage-deal-shows-hamas-took-trumps-hell-pay-threat-seriously,45 minutes ago
19,"Israel and Hamas reach deal on Gaza ceasefire, hostage release",USA TODAY ·  via Yahoo News,"After months of deadlock and more than 15 months of war, Israel and the militant group Hamas reached... ",https://www.yahoo.com/news/israel-hamas-reach-deal-gaza-171359266.html?fr=sycsrp_catchall,4 hours ago
20,UK and France in talks over sending peacekeeping troops to Ukraine,The Telegraph ·  via Yahoo News,Sir Keir Starmer and Emmanuel Macron are discussing sending British and French soldiers to Ukraine... ,https://www.yahoo.com/news/uk-france-talks-over-sending-210000546.html?fr=sycsrp_catchall,24 minutes ago
21,"Israel-Hamas ceasefire must lead to 'political resolution' in Gaza, Macron says",RFI ·  via Yahoo News,French President Emmanuel Macron said Wednesday that a ceasefire deal reached by Israel and Hamas... ,https://www.yahoo.com/news/qatar-announces-israel-hamas-ceasefire-200344264.html?fr=sycsrp_catchall,1 hour ago
22,France to decide response to Algeria 'hostility' as tensions mount - minister,Reuters ·  via Yahoo News,President Emmanuel Macron and key members of the government will meet in the coming days to decide... ,https://www.yahoo.com/news/france-decide-response-algeria-hostility-160631078.html?fr=sycsrp_catchall,5 hours ago
